times,P_opt,P_original,P_extrapolated
0.0,0.0,1.0,1.0,1.0
0.4692190137564253,0.8004324352315489,0.8992409318406557,0.7474074095537221,0.8992409318406557
0.9384380275128505,1.6008648704630979,0.66872273240107,0.328664805348773,0.66872273240107
1.407657041269276,2.401297305694647,0.41388242761759975,0.06023940140676455,0.41388242761759975
1.876876055025701,3.2017297409261958,0.19359714383272078,0.055988220555529024,0.19359714383272078
2.3460950687821263,4.002162176157745,0.06737104272111383,0.1836666777439763,0.06737104272111383
2.815314082538552,4.802594611389294,0.07091977786018586,0.465708386246519,0.07091977786018586
3.284533096294977,5.603027046620842,0.04877564117648916,0.6292542813378946,0.04877564117648916
3.753752110051402,6.4034594818523916,0.11249226495183218,0.5712436196471039,0.11249226495183218
4.222971123807827,7.203891917083941,0.26820262557604524,0.34942752776222447,0.26820262557604524
4.6921901375642525,8.00432435231549,0.43114663355207883,0.15492225364636497,0.43114663355207883
5.161409151320678,8.804756787547038,0.5573159174619967,0.1286999989817646,0.5573159174619967
5.630628165077104,9.605189222778588,0.617228343535808,0.07351136039062266,0.617228343535808
6.099847178833529,10.405621658010137,0.5996303257222244,0.19866602736193456,0.5996303257222244
6.569066192589954,11.206054093241685,0.5129980515264474,0.3611760073535429,0.5129980515264474
7.038285206346379,12.006486528473234,0.38320134778593395,0.40026382857650716,0.38320134778593395
7.507504220102804,12.806918963704783,0.24917456658942547,0.30731039847474545,0.24917456658942547
7.9767232338592295,12.969894281722306,0.15835853472143313,0.2796981013647117,0.15835853472143313
8.445942247615655,13.019894281722307,0.1329673438120633,0.27118703592039084,0.1329673438120633
8.91516126137208,13.069894281722307,0.11886094294694424,0.2627106121192646,0.11886094294694424
9.384380275128505,13.119894281722308,0.08051605931736475,0.25431138261662983,0.08051605931736475
9.853599288884931,13.169894281722309,0.08658355265976328,0.24603249461609772,0.08658355265976328
10.322818302641355,13.21989428172231,0.1796858284776278,0.23791742950797262,0.1796858284776278
10.792037316397781,13.26989428172231,0.2806499587399044,0.23000966606715817,0.2806499587399044
11.261256330154207,13.319894281722311,0.3539603418335767,0.22235225105264375,0.3539603418335767
11.730475343910632,13.369894281722312,0.3828576114626352,0.2149872617380846,0.3828576114626352
12.199694357667058,13.419894281722312,0.3644045342772471,0.20795514802023038,0.3644045342772471
12.668913371423482,13.469894281722313,0.3089501388911398,0.20129394825771638,0.3089501388911398
12.969894281722306,13.519894281722314,0.2634057571637005,0.195038383711753,0.25615457596757885
13.019894281722307,13.569894281722314,0.25575193114181255,0.1892188517308811,0.24891731601674186
13.069894281722307,13.619894281722315,0.24816569154660081,0.18386035703877282,0.24175730134766973
13.119894281722308,13.669894281722316,0.24068442206627197,0.17898144165670699,0.23470906765957608
13.169894281722309,13.719894281722317,0.2333453739638787,0.17459319354552674,0.22780671128002455
13.21989428172231,13.769894281722317,0.22618533849406125,0.17069842714469036,0.22108355182670408
13.26989428172231,13.819894281722318,0.21924025285413715,0.1672911305406049,0.21457173826402615
13.319894281722311,13.869894281722319,0.21254473326432863,0.16435626034136658,0.20830179619437142
