g,original_gs,gam1s,gam2s,gam1_FGR,gam2_FGR,|A1|,|A2|,delta_w,original_gam1,original_gam2,extrap_err1,extrap_err2
5.0,5,0.014420759581974201,0.012154552994727138,0.01746828959240043,0.0175088788927339,0.0034956070858415326,0.5945978946493896,40.62774692858453,0.01530362567950265,0.012839395455478375,0.010314217099089418,0.0004975630022105437
6.015338446148716,10,0.02004380425300055,0.018163376168605343,0.025276479427486124,0.025347155143096094,0.005017381280467673,0.5930938466805551,38.85980877118476,0.05290311950042729,0.05089898993279224,0.0006529718719912592,0.00021289037225635798
7.030676892297432,15,0.026696832744773955,0.02512936645787059,0.03452030847075761,0.03463314968833676,0.00679600077643369,0.5913348654561151,37.13965429129912,0.1155548458623422,0.11449860804682487,4.7420460831393285e-06,4.8521626605790846e-05
8.04601533844615,20,0.03438029236185816,0.03306535746642236,0.04519848780660774,0.04536761097981926,0.008814024631024273,0.5893385309708014,35.466066084735026,0.20324121856855912,0.20356275599284665,9.041704963491659e-05,7.600128756585223e-05
9.061353784594864,25,0.04309463040881691,0.04198418279816015,0.057309686828485425,0.05755124508648644,0.011054011901524111,0.5871224232193452,33.83782674729996,0.31592095906574064,0.31811235121419584,2.287180335652783e-05,4.0983040089925815e-06
10.076692230743582,30,0.052840294190214084,0.05189867605698355,0.0708525333001458,0.07118471565635154,0.01349852164521792,0.5847041221964795,32.25371887480141,0.45354720337824567,0.45816540007296075,5.921730121871693e-06,1.158276122403823e-05
11.092030676892298,35,0.06361775576194183,0.06282204643563355,0.08582561341844613,0.08626864387957568,0.016130058463677002,0.5821012681537128,30.71252773887438,0.6160579998253528,0.623756515220581,2.5190293719945522e-05,6.161634082929579e-05
12.107369123041014,40,0.07542754398133693,0.07476836505992045,0.10222747187760392,0.10280360845305331,0.018931001988891905,0.5793316396249157,29.213044751869937,0.8033970474429376,0.8149284693094523,1.2100932162362188e-05,4.181764214561401e-05
13.12270756918973,45,0.08827015170777686,0.08775115680490607,0.12005661193500075,0.1207901455465943,0.021883811052421553,0.576412927507406,27.754057434455653,1.015490128216678,1.0317099025868741,1.1570413106565258e-05,4.4198981672960436e-06
14.138046015338446,50,0.102145944866747,0.10178202038830586,0.13931149547847477,0.1402287487706508,0.02497122375469719,0.5733625136796345,26.33433958467326,1.2522644672299983,1.274136763428883,9.092970716384485e-07,1.594898766371644e-05
15.153384461487162,150,0.11705509859705067,0.1168696596574799,0.15999054309509164,0.1611198691455837,0.02817639694155532,0.5701973165385315,24.9526443586164,11.019901859290684,11.546414777591172,3.568585028035365e-07,2.5915605416093612e-06
16.16872290763588,250,0.13299754879782974,0.13301918217841266,0.18209213414144004,0.18346391507252008,0.03148285840510683,0.5669338242694029,23.607696533076926,29.49656553339087,32.110306569284205,2.15563797217877e-06,1.6421188421822386e-06
17.184061353784596,350,0.14997297293154255,0.15023183574684454,0.2056146068154132,0.20726125230576775,0.034874422196668795,0.5635881724253112,22.298188375780967,54.050017543125534,62.119037431807236,1.7790862307243138e-06,2.242329674551069e-06
18.19939979993331,450,0.16798084716147932,0.16850576253215127,0.23055625822944525,0.23251220392676167,0.0383355780192607,0.560175778512046,21.022794160004093,78.81121183862122,97.91203144933395,4.421677579302674e-06,4.808551694934771e-06
19.214738246082028,550,0.18702052734371793,0.18783712463082053,0.25691534448529774,0.2592170503196417,0.041851785106783466,0.556711076792938,19.780186561544156,94.51384128583533,128.78247146689756,8.247322927479317e-06,7.393150690648831e-06
20.230076692230746,650,0.2070913459939902,0.20822150557874441,0.28469008075024027,0.28737602914831123,0.045409584771814185,0.5532074352989922,18.569052394153452,95.1677890326076,138.72252194287984,1.0912439449950462e-05,1.0148998623449312e-05
21.24541513837946,750,0.22819271575701675,0.22965558545333226,0.3138786413347908,0.3169893353351478,0.04899640900236362,0.5496773822580328,17.388102708126308,84.09962274663567,126.1469319819311,1.6016125247375612e-05,1.412549948054398e-05
22.260753584528178,850,0.2503241922530334,0.2521381483002395,0.34447915977188415,0.3480571210412377,0.052600418294478805,0.5461327868098621,16.236078478574655,68.1612723051221,103.47051117401901,1.648447907115491e-05,1.6850522529698875e-05
23.276092030676892,950,0.27348544392854524,0.2756692154834302,0.37648972889749377,0.3805794956481677,0.05621090170007345,0.5425844289105852,15.111757727401566,52.031925602492144,79.77470289267215,2.0207734789667864e-05,2.1243030345341474e-05
24.29143047682561,1050,0.2976762477813961,0.3002496601281731,0.40990840093278974,0.41455652574145746,0.0598184180361766,0.5390418339165771,14.013961519070332,37.912831404746285,58.80669663488746,2.7517844867319674e-05,2.7433287290823394e-05
25.306768922974324,1150,0.3228964785612012,0.3258808385248162,0.44473318756766783,0.44998823509547775,0.0634146909370921,0.5355133538569123,12.941553215328048,26.557536716517983,41.71048515638511,2.987217014660537e-05,3.430475163229696e-05
26.322107369123042,1250,0.3491461766938645,0.3525641696537812,0.4809620600458011,0.4868746046600069,0.06699218764645543,0.5320065594421897,11.893422838051345,17.9856374338353,28.541347737942584,3.770814011155865e-05,4.264800219183629e-05
27.337445815271757,1350,0.3764255387415527,0.3803008742472383,0.5185929492511164,0.5252155725483342,0.07054389035427103,0.528528456504839,10.868480061521065,11.862840109751787,18.890328053062525,4.509382353701241e-05,5.4336294885937164e-05
28.352784261420474,1450,0.4047346645746802,0.40909200643829924,0.5576237457957355,0.5650110340269564,0.07406370589593197,0.5250851006169616,9.865677663094866,7.708351249155015,12.154686591526774,5.7509265002642085e-05,6.94458849744839e-05
29.368122707569192,1550,0.4340733241676151,0.4389383040268217,0.5980523001093151,0.6062608415068043,0.07754653541219297,0.5216815448242863,8.884021777839333,5.019341093167518,7.678829961502976,7.248157860428872e-05,9.094476079346547e-05
30.383461153717906,1650,0.46444077687189134,0.46984005498002657,0.6398764225299377,0.6489648045361586,0.08098813545046277,0.5183219955510633,7.922571588766246,3.347059865264052,4.843433998840689,9.638980203818814e-05,0.00011771859018511188
31.398799599866624,1750,0.4958354430641896,0.501796869440514,0.6830938833962599,0.693122689794964,0.08438473890272083,0.5150102141079,6.980426491762021,2.3352587376246356,3.12274058789446,0.00012541813094640863,0.00015083464902937438
32.41413804601534,1850,0.528254918326544,0.5348076978049263,0.7277024131412931,0.7387342210909253,0.08773291325276233,0.5117496641359992,6.0567207379390915,1.72774078794662,2.1118560461090827,0.0001654196909759431,0.00018593959864332543
33.429476492164056,1950,0.5616965885666447,0.5688712763915115,0.773699702387456,0.7857990793570253,0.09102987197398531,0.5085431787713497,5.150634655518566,1.3554359055694616,1.5260164905349285,0.00021068387087608276,0.00022893232223841764
34.444814938312774,2050,0.5961581969245453,0.6039865550118294,0.8210834020431025,0.8343169026506781,0.09427350956167568,0.5053929100266552,4.261392051863186,1.1149710993071162,1.181050562558528,0.0002625490283736376,0.0002838340101481984
35.46015338446149,2150,0.6316383528740822,0.640153092167295,0.869851123400519,0.8842872861545114,0.0974622972096578,0.502300418394925,3.388248415734611,0.9475807245265682,0.966726610339845,0.0003140706558187323,0.00033488544344856264
36.4754918306102,2250,0.6681372202505607,0.6773716007242173,0.9200004382352283,0.9357097821786248,0.10059506814221425,0.49926687053137886,2.530456874433581,0.822165102638892,0.8219206212501227,0.00035961114986365894,0.00037864518260899427
37.49083027675892,2350,0.7056565015141997,0.7156439406173795,0.9715288789068102,0.9885839001645377,0.10367093551900633,0.4962931189680614,1.6872683082731776,0.7229849010806009,0.7152572384160862,0.00041515491743077115,0.00042788128489568145
38.50616872290764,2450,0.744198562146489,0.7549724353315204,1.024433938461023,1.042909106690612,0.10668936752297752,0.4933796416950491,0.8579753099781031,0.6416334229404751,0.6314457671253463,0.0004615890261576161,0.0004749678432998117
39.521507169056356,2550,0.7837656665247871,0.7953592896342242,1.0787130707334154,1.0986848254791517,0.10965009869773776,0.4905266423973029,0.041937082706236875,0.5728293270490854,0.5626445806471174,0.0005301507000111672,0.0005466870808589763
40.53684561520507,2650,0.8243592265374324,0.8368060229211285,1.1343636904542764,1.1559104374050249,0.11255297046131296,0.4877342223923523,-0.7614055403619651,0.5130615825191198,0.5041131020801735,0.0006019394014279977,0.0006185428099478862
41.552184061353785,2750,0.8659788838909266,0.8793127548134155,1.1913831733549802,1.2145852805058739,0.1153975561464993,0.48500276793627073,-1.5524940088576669,0.46042347556432855,0.45284668566918895,0.0006682114536929462,0.0006935660296384927
42.5675225075025,2850,0.9086225411140465,0.9228782504784178,1.249768856275741,1.2747086499939326,0.11818323945800743,0.4823328747608434,-2.3316752532378535,0.41419770821233626,0.40738557154549876,0.0007547350289609511,0.0007828554086243278
43.58286095365122,2950,0.9522872412358396,0.9675006497290879,1.3095180372746853,1.3362797982693622,0.12090970322261438,0.4797248546752658,-3.0992826302316283,0.3739055949693073,0.3673247182925567,0.0008611672792422365,0.000902124913935598
44.59819939979993,3050,0.9969698676288168,1.0131780539700255,1.370627975738377,1.3992979349352481,0.12357724586591337,0.4771784171236632,-3.855712063850578,0.3385697910095985,0.3323442158147643,0.0009337010012323566,0.0009697219090148423
45.61353784594865,nan,1.0426678773085827,1.059909126020872,1.4330958924936785,1.463762226814142,0.12618700513037426,0.47469244157070745,-4.601493021430056,nan,nan,nan,nan
46.62887629209737,nan,1.0893801330243074,1.107693759225985,1.4969189699209056,1.5296717979661185,0.12874122553945094,0.4722647052241088,-5.337389280087045,nan,nan,nan,nan
47.644214738246085,nan,1.1371068575514125,1.156533034052185,1.5620943520684818,1.5970257297085488,0.13124311422665585,0.4698920256011043,-6.064362458143686,nan,nan,nan,nan
48.6595531843948,nan,1.1858490192962714,1.2064287074677162,1.62861914476876,1.6658230606372688,0.1336963834897498,0.4675707176211793,-6.783439979872835,nan,nan,nan,nan
49.67489163054351,nan,1.2356078935706436,1.2573828284935917,1.6964904157553924,1.7360627866495282,0.13610477428357212,0.46529706711388596,-7.495601844834809,nan,nan,nan,nan
50.69023007669223,nan,1.286384568752259,1.3093973003559516,1.7657051947818705,1.8077438609683454,0.1384715627395845,0.4630678211903525,-8.201673567614684,nan,nan,nan,nan
51.70556852284095,nan,1.3381794288709425,1.362473418714705,1.8362604737415118,1.8808651941685472,0.1407990852567046,0.4608806602534483,-8.90223127483239,nan,nan,nan,nan
52.72090696898967,nan,1.3909921715036428,1.4166118872130575,1.9081532067887177,1.9554256542043276,0.14308876079604918,0.4587341758532345,-9.597607393357508,nan,nan,nan,nan
53.736245415138384,nan,1.4448220562324168,1.471813037031036,1.9813803104614933,2.03142406643832,0.145341349392477,0.45662761382663325,-10.287948708785699,nan,nan,nan,nan
54.751583861287095,nan,1.4996680382779983,1.5280769406761272,2.055938663805534,2.108859213672487,0.14755715109016476,0.45456067675944223,-10.97327214241179,nan,nan,nan,nan
55.76692230743581,nan,1.5555289566920536,1.5854035719253086,2.1318251084992403,2.1877298361802033,0.14973629036338043,0.45253324157003005,-11.653545048736484,nan,nan,nan,nan
56.78226075358453,nan,1.6124037535335898,1.643792992100094,2.209036448980414,2.26803463174028,0.1518790473645748,0.45054503059573214,-12.32877873323417,nan,nan,nan,nan
57.79759919973325,nan,1.6702914476160253,1.7032453277545259,2.287569452574005,2.3497722556723133,0.15398581824751517,0.4485956509900926,-12.999017250803181,nan,nan,nan,nan
58.81293764588196,nan,1.729191058918528,1.7637607064333998,2.367420849621232,2.432941320873676,0.1560570009278,0.4466847081572406,-13.664305153741026,nan,nan,nan,nan
59.82827609203068,nan,1.7891016074202626,1.8253392556815113,2.4485873336100115,2.5175403978580997,0.15809299332102789,0.44481180750130556,-14.324686994345203,nan,nan,nan,nan
60.843614538179395,nan,1.8500221131003975,1.8879811030436557,2.5310655613066646,2.6035680147958167,0.1600941933427973,0.4429765544264168,-14.980207324913223,nan,nan,nan,nan
61.85895298432811,nan,1.9119515959380988,1.9516863760646297,2.614852152888841,2.691022657555209,0.16206099890870673,0.4411785543367037,-15.630910697742593,nan,nan,nan,nan
62.87429143047683,nan,1.9748890759125333,2.016455202289228,2.6999436920797737,2.779902769746075,0.16399380793435475,0.4394174126362955,-16.27684166513081,nan,nan,nan,nan
63.88962987662554,nan,2.0388335730028677,2.0822877092622463,2.78633672628377,2.870206752764439,0.16589301833533987,0.4376927347293217,-16.918044779375386,nan,nan,nan,nan
64.90496832277427,nan,2.1037841071882686,2.149184024528481,2.874027766722987,2.9619329658389386,0.16775902802726056,0.4360041260199115,-17.554564592773826,nan,nan,nan,nan
65.92030676892298,nan,2.169739698447903,2.2171442756327266,2.9630132885753806,3.05507972607869,0.16959223492571535,0.4343511919121943,-18.18644565762363,nan,nan,nan,nan
66.9356452150717,nan,2.236699366760937,2.2861685901197797,3.0532897311140146,3.149645308522841,0.17139303694630276,0.4327335378102994,-18.813732526222307,nan,nan,nan,nan
67.9509836612204,nan,2.3046621321065377,2.3562570955344353,3.1448534978474796,3.2456279461915285,0.17316183200462132,0.43115076911835604,-19.436469750867364,nan,nan,nan,nan
68.96632210736912,nan,2.3736270144638727,2.4274099194214895,3.2377009566616946,3.3430258301385503,0.17489901801626956,0.42960249124049377,-20.0547018838563,nan,nan,nan,nan
69.98166055351784,nan,2.4435930338121072,2.4996271893257376,3.3318284399626936,3.441837109505344,0.17660499289684595,0.42808830958084176,-20.66847347748663,nan,nan,nan,nan
70.99699899966656,nan,2.514559210130409,2.572909032791976,3.427232244820919,3.5420598915768027,0.17828015456194907,0.4266078295435294,-21.27782908405585,nan,nan,nan,nan
72.01233744581528,nan,2.586524563397944,2.6472555773649997,3.5239086331165237,3.6436922418384303,0.17992490092717733,0.425160656532686,-21.882813255861468,nan,nan,nan,nan
73.027675891964,nan,2.659488113593879,2.722666950589604,3.621853831685952,3.746732184035116,0.18153962990812936,0.4237463959524409,-22.483470545200994,nan,nan,nan,nan
74.04301433811271,nan,2.733448880697382,2.7991432800105853,3.721064032469684,3.851177700231416,0.18312473942040364,0.4223646532069234,-23.079845504371924,nan,nan,nan,nan
75.05835278426142,nan,2.808405884687618,2.876684693172739,3.8215353926611475,3.9570267308733404,0.18468062737959862,0.4210150337002629,-23.67198268567177,nan,nan,nan,nan
76.07369123041013,nan,2.8843581455437546,2.955291317620861,3.9232640348569405,4.064277174851818,0.1862076917013129,0.41969714283658865,-24.25992664139804,nan,nan,nan,nan
77.08902967655885,nan,2.9613046832449585,3.034963280899746,4.0262460472081125,4.172926889567559,0.18770633030114497,0.4184105860200301,-24.843721923848232,nan,nan,nan,nan
78.10436812270757,nan,3.0392445177703973,3.115700710554191,4.130477483572592,4.282973690997433,0.1891769410946934,0.4171549686547166,-25.423413085319858,nan,nan,nan,nan
