r0s,gam1s,gam2s,gam3s,gam1_FGR,gam2_FGR,gam3_FGR,original_gam1,original_gam2,original_gam3,opt_gam1,opt_gam2,opt_gam3
0.01,0.0012654924685501785,65.12375827589717,26.86118265578996,4.79148158598302e-5,62.5225653817731,27.5214149133975,0.0009653834837578311,64.48688458030739,26.64876993544406,0.0012654924685501505,65.12375827589713,26.861182655789957
0.06405405405405405,0.000469954711720164,65.09859853433697,26.85718297942177,0.00196588598500400,62.5191685404726,27.5201771207913,-0.0005681918392271596,64.48703854641013,26.649074708291817,0.00020549450269644726,65.12758038100345,26.866091123325482
0.1181081081081081,0.0027833950268958347,65.06832624644368,26.851285902280846,0.00668363687920435,62.5108143903669,27.5171330048393,0.001062983312557952,64.48009983389173,26.647069208711823,0.002279339994372419,65.12417463692545,26.86845980504393
0.17216216216216215,0.008184869267846574,65.03301055742386,26.843520690210514,0.0142007164144454,62.4975069398300,27.5122842694148,0.005836170134872174,64.46617892575101,26.642790725286517,0.007465212812916934,65.11365349174902,26.86833060863097
0.2262162162162162,0.016653433288341766,64.99272061248416,26.83391660905409,0.0245164058607241,62.4792525738677,27.5056336286207,0.013728629823474513,64.44538630498677,26.636276546598317,0.015741296827668866,65.0961293935601,26.865745441772283
0.28027027027027024,0.028168142942150858,64.94752555683135,26.822502924654945,0.0376297189237567,62.4560600510627,27.4971848054553,0.02471762357412404,64.417832454598,26.627563961229725,0.027085775907967128,65.0717147904448,26.860746212153593
0.3343243243243243,0.04270805408304312,64.89749453567171,26.809308902856294,0.0535394018573380,62.4279404993854,27.4869425299836,0.03878041258257965,64.3836278575832,26.61669025776304,0.04147683392315052,65.04052213048871,26.853374827460485
0.38837837837837835,0.060252222564788,64.84269669421201,26.794363809501505,0.0722439336059676,62.3949074108700,27.4749125370131,0.055894258044600395,64.34288299694136,26.603692724780746,0.05889265474255792,65.00266386177786,26.843673195378656
0.4424324324324324,0.08077970424115487,64.78320117765887,26.777696910433896,0.0937415259780008,62.3569766351617,27.4611015632763,0.07603642115594532,64.29570835567128,26.588608650865275,0.07931142223552823,64.95825243239824,26.8316832235938
0.49648648648648647,0.10426955496591311,64.71907713121888,26.75933747149679,0.118030123849236,62.3141663719351,27.4455173441209,0.0991841631123734,64.24221441677176,26.57147532459905,0.10271132027140031,64.90740029043573,26.817446819791584
0.5505405405405405,0.13070083059283213,64.65039370009865,26.739314758533492,0.145107405396732,62.2664971621899,27.4281686097096,0.12531474510964363,64.18251166324161,26.55233003456451,0.12907053271951302,64.85021988397625,26.80100589165768
0.6045945945945945,0.1600525869756813,64.57722002950477,26.717658037387334,0.174970782363109,62.2139918784275,27.4090650807318,0.15440542834351506,64.11671057807969,26.531210069344063,0.15836724344920522,64.78682366110573,26.782402346877763
0.6586486486486486,0.19230387996822998,64.49962526464388,26.694396573901635,0.207617400351159,62.1566757137124,27.3882174636277,0.1864334740097467,64.04492164428478,26.508152717520154,0.19057963632981584,64.71732406991009,26.761678093137498
0.7127027027027026,0.2274337654242476,64.41767855072257,26.6695596339197,0.243044139148544,62.0945761696260,27.3656374453295,0.2213761433040975,63.96725534485569,26.483195267675192,0.22568589523068366,64.64183355847523,26.738875038122558
0.7667567567567567,0.26542129919750346,64.33144903294746,26.643176483284858,0.281247613083087,62.0277230431167,27.3413376875209,0.25921069742232655,63.88382216279125,26.456375008391618,0.26366420402114754,64.56046457488708,26.714035089518624
0.8208108108108108,0.306245537141767,64.24100585652515,26.615276387840424,0.322224171407877,61.9561484122549,27.3153318204183,0.2999143975601928,63.79473258109027,26.42772922825185,0.3044927465705465,64.47332956723156,26.68720015501137
0.8748648648648648,0.34988553511080767,64.14641816666224,26.585888613429717,0.365969898716748,61.8798866208978,27.2876344360760,0.34346450491345526,63.70009708275157,26.397295215838326,0.3481497067482192,64.38054098359459,26.658412142286455
0.9289189189189189,0.39632034895839474,64.04775510856534,26.555042425896055,0.412480615389832,61.7989742622742,27.2582610812206,0.389838280677873,63.60002615077396,26.365110259733466,0.39461326842350464,64.28221127206209,26.627712959029566
0.9829729729729729,0.4455290345382976,63.94508582744106,26.522767091082756,0.461751878069084,61.7134501614947,27.2272282496161,0.4390129860492049,63.49463026815626,26.331211648519698,0.4438616154657417,64.17845288071999,26.59514451292637
1.037027027027027,0.49749064770428575,63.83847946849602,26.489091874833136,0.513778980163806,61.6233553569995,27.1945533739651,0.49096588222321014,63.38401991789728,26.295636670779444,0.49587293174426916,64.06937825765418,26.56074871166254
1.091081081081081,0.5521842443101284,63.72800517693681,26.45404604299052,0.568556952386125,61.5287330809493,27.1602548173495,0.5456742303956476,63.268305582995836,26.258422615095142,0.550625401128426,63.95509985095062,26.524567462923745
1.145135135135135,0.6095888802095952,63.61373209797005,26.417658861398213,0.626080563316328,61.4296287385724,27.1243518642148,0.6031152917622763,63.14759774645074,26.219606770049204,0.608097207487551,63.83573010869519,26.486642674395664
