g_values_FGR,gam_upper_FGR_reduced_virtual,gam_lower_FGR_reduced_virtual
1000,85.44123724302914,55.26058524642198
1010,83.29606041358045,53.650915028205155
1020,81.15371812701224,52.05696935438184
1030,79.01713279967828,50.480432830565086
1040,76.88911355959523,48.92288779814929
1050,74.77235281652382,47.38581420988065
1060,72.6694233700424,45.87058986796147
1070,70.5827760419641,44.37849100496872
1080,68.51473781795819,42.91069318748404
1090,66.46751048186913,41.46827252205212
1100,64.4431697249933,40.05220714290809
1110,62.44366471146651,38.66337896083389
1120,60.470818079942106,37.3025756525192
1130,58.52632636089511,35.97049286990725
1140,56.611760788174244,34.66773664919601
1150,54.72856848283526,33.39482599943531
1160,52.87807398683153,32.152195651008974
1170,51.06148112379175,30.94019894470325
1180,49.27987516389959,29.75911084254744
1190,47.53422526977752,28.609131042148768
1200,45.82538720027987,27.490387176837558
1210,44.15410624920568,26.40293808457823
1220,42.52102039614504,25.346777129283314
1230,40.92666364696845,24.32183555888544
1240,39.371469541852164,23.327985885270586
1250,37.85577480919532,22.365045271949633
1260,36.37982314432199,21.432778916138737
1270,34.943769092466205,20.530903412727653
1280,33.547682016203545,19.659090088433395
1290,32.19155012821387,18.81696829526078
1300,30.875284571027336,18.00412865321572
1310,29.598723526217217,17.22012623303923
1320,28.361636336347157,16.464483670543615
1330,27.163727623856524,15.736694204936612
1340,26.00464139196452,15.036224634307937
1350,24.88396509358933,14.362518182224548
1360,23.801233655206744,13.714997270133518
1370,22.755933443504873,13.09306619099931
1380,21.747506163628984,12.496113680307667
1390,20.775352678740777,11.923515381244503
1400,19.83883674154269,11.374636201507862
1410,18.93728862932892,10.84883255982878
1420,18.070008675022475,10.345454520864696
1430,17.236270687535068,9.86384781768416
1440,16.43532525564147,9.403355761583839
1450,15.666402930388998,8.96332103946748
1460,14.928717281865751,8.543087399472533
1470,14.221467826920051,8.142001225950604
1480,13.543842825164568,7.759413005297189
1490,12.895021941301973,7.394678684480157
1500,12.27417877247819,7.047160924438523
1510,11.680483240003424,6.71623025081359
1520,11.113103845374779,6.4012661047320485
1530,10.571209791093516,6.1016577965895165
1540,10.053972967287727,5.816805365980599
1550,9.56056980563311,5.546120351092044
1560,9.090183002506206,5.289026471017627
1570,8.64200311370985,5.044960224570442
1580,8.21523002347699,4.813371409259403
1590,7.809074290789476,4.593723564165176
1600,7.42275837634316,4.385494340496811
1610,7.055517753749296,4.188175803635436
1620,6.7066019087882776,4.0012746704774775
1630,6.37527523072372,3.824312485877509
1640,6.060817799846994,3.6568257419625754
1650,5.762526075552678,3.498365944045636
1660,5.479713489348743,3.3484996268083838
1670,5.211710947280337,3.206808324353375
1680,4.957867246296357,3.0728884976441986
1690,4.717549409113765,2.9463514227610177
1700,4.490142942138449,2.8268230432989587
1710,4.27505202098403,2.713943790129213
1720,4.071699608093883,2.60736837162891
1730,3.8795275069175874,2.506765537366558
1740,3.6979963570227454,2.411817818106197
1750,3.5265855744390535,2.3222212448667223
1760,3.3647932414333717,2.23768504964327
1770,3.2121359498058624,2.1579313502667983
1780,3.0681486016775867,2.082694821746082
1790,2.93238417161218,2.0117223563046354
1800,2.804413433778353,1.9447727141936872
1810,2.683824657718346,1.8816161672323584
1820,2.5702232761404287,1.8220341368978064
1830,2.4632315280027273,1.7658188286620364
1840,2.3624880800019348,1.71277286414872
1850,2.267647629424752,1.6627089125630088
1860,2.178380491163346,1.615449322730528
1870,2.0943721715392076,1.5708257569685182
1880,2.0153229314238295,1.5286788279030183
1890,1.940947340989636,1.4888577392408984
1900,1.8709738282720902,1.4512199314050478
1910,1.8051442235735193,1.4156307328447688
1920,1.743213301592406,1.3819630177419597
1930,1.684948323018326,1.3500968707466754
1940,1.630128577193434,1.319919259293447
1950,1.5785449273062997,1.2913237139721154
1960,1.529999359453598,1.2642100173540285
1970,1.4843045367796976,1.2384839016060891
1980,1.4412833597838621,1.2140567551613317
1990,1.4007685337698046,1.1908453386553632
2000,1.3626021443026413,1.1687715102829601
2010,1.3266352414341955,1.1477619606783396
2020,1.29272743335893,1.1277479573759162
2030,1.2607464900696892,1.1086650988656126
2040,1.2305679574948625,1.0904530782178836
2050,1.2020747825163818,1.0730554562182992
2060,1.1751569491912457,1.0564194439197705
2070,1.1497111264278035,1.0404956944920505
2080,1.125640327301639,1.0252381042227903
2090,1.102853580134742,1.0106036225021864
2100,1.081265611405164,0.9965520706036995
2110,1.0607965405027575,0.9830459690565251
2120,1.041371586299461,0.9700503733911133
2130,1.022920785459858,0.9575327180270086
2140,1.0053787223791804,0.9454626680623858
