L,L_ext,gam1s,gam2s,PLgam1,PLgam2,gam1_inf,gam2_inf
16,10.0,135.84053873071187,95.93514338810765,132.36477095794564,93.72384009689613,138.03251792797755,97.33701142498053
18,10.954773869346734,136.28176063896862,96.22042611155462,133.30967372798946,94.32621271772798,138.03251792797755,97.33701142498053
20,11.909547738693467,136.6048249173005,96.42838380463735,134.03656913486688,94.78960631249018,138.03251792797755,97.33701142498053
22,12.864321608040202,136.84905024295398,96.58345427226956,134.6077064081986,95.15370457434165,138.03251792797755,97.33701142498053
24,13.819095477386934,137.03616795632774,96.70419491643786,135.06460456916454,95.44497575207514,138.03251792797755,97.33701142498053
26,14.773869346733669,137.18506418627598,96.7975804955788,135.43581692654027,95.6816224925511,138.03251792797755,97.33701142498053
28,15.728643216080403,137.30096448002837,96.87435972785012,135.74150293588582,95.87649638692288,138.03251792797755,97.33701142498053
30,16.683417085427138,137.39780807895204,96.93525870974544,135.99622412843993,96.03888036674032,138.03251792797755,97.33701142498053
32,17.63819095477387,137.47816233812412,96.98649378908776,136.21071089913661,96.17561502589716,138.03251792797755,97.33701142498053
34,18.592964824120603,137.544003553692,97.02850912842672,136.39301137019643,96.29183101765058,138.03251792797755,97.33701142498053
36,19.547738693467338,137.59918630600436,97.06295877948892,136.5492575228769,96.39143746126452,138.03251792797755,97.33701142498053
38,20.50251256281407,137.64537852397928,97.09068254411712,136.68418767182467,96.4774550178086,138.03251792797755,97.33701142498053
40,21.457286432160807,137.68500195976304,97.11577623269618,136.80150998212017,96.55224763116018,138.03251792797755,97.33701142498053
42,22.412060301507537,137.7192341857122,97.13657564401827,136.90415998914793,96.61768669613282,138.03251792797755,97.33701142498053
44,23.366834170854272,137.7476934246648,97.15268715885148,136.99448602713244,96.67526926859958,138.03251792797755,97.33701142498053
46,24.321608040201006,137.76924504815773,97.1650161332958,137.0743847413773,96.7262044541304,138.03251792797755,97.33701142498053
48,25.276381909547737,137.7866602387504,97.17192024255273,137.1454014706174,96.77147740143405,138.03251792797755,97.33701142498053
nan,26.231155778894472,nan,nan,137.20880553473526,96.81189729804659,nan,nan
nan,27.185929648241206,nan,nan,137.26564734956546,96.84813378084418,nan,nan
nan,28.14070351758794,nan,nan,137.3168022144564,96.88074485047967,nan,nan
nan,29.095477386934675,nan,nan,137.36300421169514,96.91019848216187,nan,nan
nan,30.050251256281406,nan,nan,137.40487268978046,96.93688950866117,nan,nan
nan,31.00502512562814,nan,nan,137.44293312841614,96.9611529216787,nan,nan
nan,31.959798994974875,nan,nan,137.4776337072183,96.98327443434658,nan,nan
nan,32.91457286432161,nan,nan,137.50935856020124,97.00349893092198,nan,nan
nan,33.869346733668344,nan,nan,137.53843845259203,97.02203727322373,nan,nan
nan,34.824120603015075,nan,nan,137.56515943736073,97.03907181914383,nan,nan
nan,35.77889447236181,nan,nan,137.58976991683582,97.05476092440557,nan,nan
nan,36.733668341708544,nan,nan,137.61248643660704,97.06924263615899,nan,nan
nan,37.688442211055275,nan,nan,137.6334984652927,97.0826377400677,nan,nan
nan,38.64321608040201,nan,nan,137.65297235807992,97.09505228705383,nan,nan
nan,39.597989949748744,nan,nan,137.6710546595343,97.10657969882895,nan,nan
nan,40.552763819095475,nan,nan,137.68787486862507,97.11730253058919,nan,nan
nan,41.50753768844221,nan,nan,137.70354776376215,97.12729395321915,nan,nan
nan,42.462311557788944,nan,nan,137.71817536607813,97.13661900487834,nan,nan
nan,43.41708542713568,nan,nan,137.73184860388173,97.14533565208494,nan,nan
nan,44.37185929648241,nan,nan,137.74464872915567,97.153495692729,nan,nan
nan,45.32663316582914,nan,nan,137.7566485274335,97.16114552736514,nan,nan
nan,46.28140703517588,nan,nan,137.76791335479584,97.16832682029451,nan,nan
