times,tm_orig,P_opt,P_original,P_extrapolated
0.0,0.0,1.0,1.0,1.051007269443175
0.09807032572523484,0.15298970813136636,0.9912207245544261,0.9788276765589522,1.009004395500587
0.1961406514504697,0.30597941626273273,0.9654284197175779,0.9184104753662449,0.960238039536543
0.29421097717570455,0.4589691243940991,0.9241692179388954,0.8268717872704039,0.905338033190759
0.3922813029009394,0.6119588325254655,0.8697437331056774,0.7145552668541559,0.8449629933962922
0.4903516286261742,0.7649485406568318,0.8048706694980369,0.5911523227926693,0.779794049178369
0.5884219543514091,0.9179382487881982,0.7323411155151545,0.46398112376657513,0.7105286956802548
0.6864922800766439,1.0709279569195647,0.6547332596438582,0.33770321876285503,0.6378748874866884
0.7845626058018788,1.223917665050931,0.5742271961877935,0.2151340741138463,0.5625455534640647
0.8826329315271136,1.3769073731822972,0.4925294643589637,0.0996399815935651,0.4852538882481485
0.9807032572523484,1.5298970813136636,0.41089091228327085,0.0424297773655596,0.4067102478881675
1.0787735829775833,1.6828867894450301,0.33019332133070833,0.13415607579134264,0.3276229529736362
1.1768439087028182,1.8358764975763964,0.25109040718831904,0.23199756806249736,0.2487108540715032
1.274914234428053,1.9888662057077626,0.17424920969238492,0.32209465097350176,0.17076303687283106
1.3729845601532877,2.1418559138391293,0.10114571331200535,0.4020337475955988,0.09499981397800815
1.4710548858785226,2.2948456219704956,0.042019246375523955,0.47034005693945713,0.029306270875522875
1.5691252116037575,2.447835330101862,0.06299879111159076,0.5260088953565338,0.06115409150063307
1.6671955373289924,2.600825038233228,0.12536061427860562,0.5684510303721091,0.12832945394960307
1.7652658630542273,2.7538147463645943,0.1890476048551685,0.5974574332605076,0.19397021845522683
1.863336188779462,2.906804454495961,0.2502579055608645,0.6131534829270459,0.25617679299081614
1.9614065145046968,3.0597941626273273,0.3079700697251556,0.6159511894590031,0.3143143747813812
2.059476840229932,3.2127838707586935,0.361604354284441,0.6065067559990787,0.3679731757530501
2.1575471659551666,3.3657735788900602,0.4107275339831939,0.5856852548758554,0.41683935221807056
2.2556174916804013,3.5187632870214265,0.45499462822026004,0.5545303194652952,0.46066526713543776
2.3536878174056364,3.6717529951527927,0.494135817216737,0.5142368625770696,0.4992600027823037
2.451758143130871,3.824742703284159,0.5279525735730084,0.466125280521905,0.5324853982534963
2.549828468856106,3.9777324114155252,0.5563146121149696,0.41161934867310657,0.5602537874325686
2.647898794581341,4.130722119546892,0.5791556827300983,0.35223244691765715,0.5825262172637935
2.7459691203065755,4.283711827678259,0.5964688484637812,0.2895748654390568,0.5993107031424841
2.8440394460318106,4.4367015358096245,0.6083009384972156,0.22542689353445866,0.6106603504654059
2.9421097717570452,4.589691243940991,0.6147473627425766,0.16204311258507453,0.6166712796226629
3.0401800974822804,4.742680952072357,0.6159473058863084,0.10353871882812705,0.6174803397553529
3.138250423207515,4.895670660203724,0.6120794437030066,0.06347763642529453,0.6132626204330291
3.2363207489327497,5.04866036833509,0.6033581202586193,0.07333257301317221,0.604228783964799
3.334391074657985,5.201650076466456,0.5900301178607679,0.11597396888263617,0.5906222504451268
3.4324614003832195,5.354639784597823,0.5723714139444863,0.16301888750987492,0.5727162760820536
3.5305317261084546,5.507629492729189,0.5506842281627266,0.20709606934794123,0.5508109752853766
3.6286020518336892,5.660619200860555,0.5252942301461155,0.24595482282888018,0.5252303512147816
3.726672377558924,5.813608908991922,0.4965477605751811,0.27858052677513717,0.49631942243739297
3.824742703284159,5.966598617123288,0.4648090239014777,0.30443829585246907,0.46444157316053747
3.9228130290093937,6.119588325254655,0.43045864002101264,0.32327013063643245,0.42997632735196323
4.020883354734629,6.272578033386021,0.3938917588193503,0.3350222507554601,0.39331788697058023
4.118953680459864,6.425567741517387,0.3555180936657469,0.3398106042445783,0.3548750574407191
4.217024006185098,6.578557449648754,0.3157643982926743,0.337898953201092,0.31507379003089586
4.315094331910333,6.7315471577801205,0.275082091962232,0.3296814776444855,0.2743649633243425
4.413164657635568,6.884536865911486,0.2339660727997237,0.3156671249614491,0.2332434936378829
4.5112349833608025,7.037526574042853,0.19300005449604038,0.29646512254948404,0.1922943740588977
4.609305309086038,7.190516282174219,0.15297223313463262,0.2727722488284025,0.15231041288812355
4.707375634811273,7.3435059903055855,0.11520417215315436,0.2453638401785845,0.11462684523855231
4.805445960536507,7.496495698436952,0.08258717865087631,0.2150924867556001,0.08217513725770664
4.903516286261742,7.649485406568318,0.06239111715552195,0.1829050118119865,0.06230256899244045
5.001586611986977,7.802475114699685,0.06508190584281862,0.1499029202501486,0.06535155287034787
5.099656937712212,7.9554648228310505,0.08667928978059943,0.11752015148038866,0.0870752649486725
5.1977272634374465,8.108454530962417,0.11541917522328929,0.08803855366999022,0.11580252868918169
5.295797589162682,8.261444239093784,0.14562364223607005,0.06593755715802625,0.14594666168129755
5.393867914887917,8.41443394722515,0.17515865375109485,0.05880818594677426,0.17540284083347765
5.491938240613151,8.567423655356517,0.20308374273358945,0.06906131174230382,0.20324040906656876
5.590008566338386,8.720413363487882,0.2288978240823279,0.08853760943839288,0.22896257863099853
5.688078892063621,8.873403071619249,0.2522946389585326,0.11019266597872278,0.2522656460633341
5.786149217788855,9.026392779750616,0.2730724775410638,0.13084890660322535,0.2729495058918474
5.8842195435140905,9.179382487881982,0.2910956215967663,0.14909317862932872,0.29087983652655003
5.982289869239326,9.332372196013349,0.3062764361914433,0.16422201132116768,0.30597021443627637
6.080360194964561,9.485361904144714,0.3185659246519882,0.1758684481989159,0.3181727171309405
6.178430520689795,9.63835161227608,0.32794819521712343,0.18386247825001953,0.3274724286036939
6.27650084641503,9.791341320407447,0.33443685014496133,0.18817081288220242,0.3338838406490017
6.374571172140265,9.944331028538814,0.338072337292779,0.18886656275593092,0.3374482092597426
6.472641497865499,10.09732073667018,0.3389197894512551,0.18611110703399888,0.33823140201390295
6.5707118235907345,10.250310444801546,0.33706718951686654,0.18014143026158566,0.3363220010733647
6.66878214931597,10.403300152932912,0.33262353125411764,0.17126037533521446,0.33182954381000174
6.766852475041205,10.556289861064279,0.3257171832743008,0.15982922552674583,0.3248828481855605
6.864922800766439,10.709279569195646,0.3164942915124828,0.14626316477985693,0.3156284104105568
6.962993126491674,10.862269277327012,0.30511726639168857,0.13103158540326768,0.30422889245262813
7.061063452216909,11.015258985458377,0.2917633437175859,0.11466776768401632,0.2908617458091314
7.159133777942143,11.168248693589744,0.2766234572395468,0.09779767137755228,0.27571805383305964
7.2572041036673784,11.32123840172111,0.2599014415620801,0.08120905029259026,0.25900172858962234
7.3552744293926136,11.474228109852477,0.24181380515886236,0.066001025236909,0.24092928777259423
7.453344755117848,11.627217817983844,0.2225904938390829,0.05384002093888317,0.22173059668083214
7.551415080843083,11.78020752611521,0.2024769310445677,0.047021320508964216,0.2016512580879779
7.649485406568318,11.933197234246576,0.18173971750724877,0.04717991950412565,0.18095791253921964
7.747555732293553,12.086186942377942,0.16067673233644678,0.05321711334877696,0.15994888346571565
7.845626058018787,12.23917665050931,0.13963796943961873,0.062339883107787916,0.13897504403985084
7.943696383744022,12.392166358640676,0.11906620903529228,0.0723042113623671,0.11848091810600893
8.041766709469258,12.545156066772043,0.09957785139560285,0.081808902180299,0.0990861823505116
8.139837035194493,12.698145774903407,0.08211835702865654,0.09014166775376777,0.08174167121088904
8.237907360919728,12.851135483034774,0.06820582650692991,0.09690792372856831,0.06797059259624842
8.335977686644961,13.00412519116614,0.06000805843710804,0.10189412065844332,0.059931280570459954
8.434048012370196,13.157114899297508,0.05933154142390073,0.1050018258465474,0.059385540338093144
8.532118338095431,13.310104607428874,0.06568596261171147,0.10621442651688706,0.0657981186883289
8.630188663820666,13.463094315560241,0.07660639145897143,0.10557844454323387,0.07671057701421742
8.728258989545902,13.616084023691606,0.08972626632373962,0.10319203928177972,0.08978473857129576
8.826329315271137,13.769073731822973,0.10353785201941056,0.09919723756716287,0.10353267283412332
8.92439964099637,13.92206343995434,0.11717497784458215,0.09377455045496988,0.11709837931723714
9.022469966721605,14.075053148085706,0.13013061175427185,0.08713967527216283,0.12997993950047315
9.12054029244684,14.228042856217073,0.14209213087190786,0.07954286137707181,0.14186752939115865
9.218610618172075,14.381032564348438,0.15285753852563527,0.07127242153118561,0.1525608749816838
9.31668094389731,14.534022272479804,0.16229294543665326,0.06266534307777598,0.16192728519197414
